date	close	fakedate	year
25-Sep-07	44.19	25-Sep-14	2007
18-Sep-07	46.02	18-Sep-14	2007
11-Sep-07	46.68	11-Sep-14	2007
4-Sep-07	46.16	4-Sep-14	2007
28-Aug-07	45.95	28-Aug-14	2007
21-Aug-07	53.05	21-Aug-14	2007
14-Aug-07	53.15	14-Aug-14	2007
7-Aug-07	55.71	7-Aug-14	2007
31-Jul-07	56.54	31-Jul-14	2007
24-Jul-07	55.51	24-Jul-14	2007
17-Jul-07	45.88	17-Jul-14	2007
10-Jul-07	42.13	10-Jul-14	2007
3-Jul-07	34.21	3-Jul-14	2007
26-Jun-07	27.46	26-Jun-14	2007
19-Jun-07	28.51	19-Jun-14	2007
12-Jun-07	28.84	12-Jun-14	2007
5-Jun-07	36.44	5-Jun-14	2007
29-May-07	39.08	29-May-14	2007
22-May-07	40.78	22-May-14	2007
15-May-07	40.78	15-May-14	2007
8-May-07	40.78	8-May-14	2007
1-May-07	47.75	1-May-14	2007
24-Apr-07	49.11	24-Apr-14	2007
17-Apr-07	50.64	17-Apr-14	2007
10-Apr-07	52.53	10-Apr-14	2007
3-Apr-07	52.86	3-Apr-14	2007
27-Mar-07	63.87	27-Mar-14	2007
20-Mar-07	64.35	20-Mar-14	2007
13-Mar-07	60.49	13-Mar-14	2007
6-Mar-07	60.49	6-Mar-14	2007
27-Feb-07	62.72	27-Feb-14	2007
20-Feb-07	68.51	20-Feb-14	2007
13-Feb-07	68.51	13-Feb-14	2007
6-Feb-07	68.92	6-Feb-14	2007
30-Jan-07	68.89	30-Jan-14	2007
23-Jan-07	68.92	23-Jan-14	2007
16-Jan-07	70.45	16-Jan-14	2007
9-Jan-07	73.47	9-Jan-14	2007
2-Jan-07	73.09	2-Jan-14	2007
26-Dec-06	84.02	26-Dec-14	2006
19-Dec-06	89.82	19-Dec-14	2006
12-Dec-06	89.84	12-Dec-14	2006
5-Dec-06	90.38	5-Dec-14	2006
28-Nov-06	87.77	28-Nov-14	2006
21-Nov-06	87.37	21-Nov-14	2006
14-Nov-06	87.38	14-Nov-14	2006
7-Nov-06	82.3	7-Nov-14	2006
31-Oct-06	79.4	31-Oct-14	2006
24-Oct-06	84.39	24-Oct-14	2006
17-Oct-06	84.39	17-Oct-14	2006
10-Oct-06	84.39	10-Oct-14	2006
3-Oct-06	89.78	3-Oct-14	2006
26-Sep-06	90.39	26-Sep-14	2006
19-Sep-06	93.61	19-Sep-14	2006
12-Sep-06	93.89	12-Sep-14	2006
5-Sep-06	95	5-Sep-14	2006
29-Aug-06	97.24	29-Aug-14	2006
22-Aug-06	98.61	22-Aug-14	2006
15-Aug-06	99.96	15-Aug-14	2006
8-Aug-06	99.93	8-Aug-14	2006
1-Aug-06	99.18	1-Aug-14	2006
25-Jul-06	99.18	25-Jul-14	2006
18-Jul-06	98.04	18-Jul-14	2006
11-Jul-06	97.17	11-Jul-14	2006
4-Jul-06	93.17	4-Jul-14	2006
27-Jun-06	90.68	27-Jun-14	2006
20-Jun-06	87.9	20-Jun-14	2006
13-Jun-06	87.9	13-Jun-14	2006
6-Jun-06	77.73	6-Jun-14	2006
30-May-06	78.39	30-May-14	2006
23-May-06	70.26	23-May-14	2006
