county_orig	county_clean	state_clean	count	match	fips	error	err2	
CULPEPER(VA)	CULPEPER	VA	1	CULPEPER-VA	17047	FALSE	0	
CUMBERLAND(VA)	CUMBERLAND	VA	1	CUMBERLAND-VA	31049	FALSE	0	
DANVILLE CITY(VA)	DANVILLE CITY	VA	1	DANVILLE CITY-VA	37590	FALSE	0	
DICKENSON(VA)	DICKENSON	VA	1	DICKENSON-VA	38051	FALSE	0	
FAUQUIER(VA)	FAUQUIER	VA	1	FAUQUIER-VA	01061	FALSE	0	
FRANKLIN(VA)	FRANKLIN	VA	1	FRANKLIN-VA	50067	FALSE	0	
FREDERICK(VA)	FREDERICK	VA	1	FREDERICK-VA	51069	FALSE	0	
GLOUCESTER(VA)	GLOUCESTER	VA	1	GLOUCESTER-VA	13073	FALSE	0	
LOUDOUN(VA)	LOUDOUN	VA	1	LOUDOUN-VA	19107	FALSE	0	
MECKLENBURG(VA)	MECKLENBURG	VA	1	MECKLENBURG-VA	26117	FALSE	0	
NORTHUMBERLAND(VA)	NORTHUMBERLAND	VA	1	NORTHUMBERLAND-VA	02133	FALSE	0	
PAGE(VA)	PAGE	VA	1	PAGE-VA	12139	FALSE	0	
PETERSBURG CITY(VA)	PETERSBURG CITY	VA	1	PETERSBURG CITY-VA	30730	FALSE	0	
PORTSMOUTH CITY(VA)	PORTSMOUTH CITY	VA	1	PORTSMOUTH CITY-VA	18740	FALSE	0	
PRINCE EDWARD(VA)	PRINCE EDWARD	VA	1	PRINCE EDWARD-VA	51147	FALSE	0	
PULASKI(VA)	PULASKI	VA	1	PULASKI-VA	40155	FALSE	0	
ROCKINGHAM(VA)	ROCKINGHAM	VA	1	ROCKINGHAM-VA	36165	FALSE	0	
RUSSELL(VA)	RUSSELL	VA	1	RUSSELL-VA	37167	FALSE	0	
SCOTT(VA)	SCOTT	VA	1	SCOTT-VA	31169	FALSE	0	
SHENANDOAH(VA)	SHENANDOAH	VA	1	SHENANDOAH-VA	27171	FALSE	0	
WAYNESBORO CITY(VA)	WAYNESBORO CITY	VA	1	WAYNESBORO CITY-VA	47820	FALSE	0	
WESTMORELAND(VA)	WESTMORELAND	VA	1	WESTMORELAND-VA	56193	FALSE	0	
WYTHE(VA)	WYTHE	VA	1	WYTHE-VA	72197	FALSE	0	
SALT LAKE(UT)	SALT LAKE	UT	24	SALT LAKE-UT	45035	FALSE	0	
UTAH(UT)	UTAH	UT	17	UTAH-UT	72049	FALSE	0	
WEBER(UT)	WEBER	UT	5	WEBER-UT	22057	FALSE	0	
JUAB(UT)	JUAB	UT	2	JUAB-UT	72023	FALSE	0	
WASHINGTON(UT)	WASHINGTON	UT	2	WASHINGTON-UT	51053	FALSE	0	
CACHE(UT)	CACHE	UT	1	CACHE-UT	22005	FALSE	0	
DAVIS(UT)	DAVIS	UT	1	DAVIS-UT	46011	FALSE	0	
MORGAN(UT)	MORGAN	UT	1	MORGAN-UT	54029	FALSE	0	
DE-WITT(TX)	DEWITT	TX	1	DEWITT-TX	48123	FALSE	0	
HARRIS(TX)	HARRIS	TX	164	HARRIS-TX	19201	FALSE	0	
DALLAS(TX)	DALLAS	TX	156	DALLAS-TX	55113	FALSE	0	
BEXAR(TX)	BEXAR	TX	64	BEXAR-TX	01029	FALSE	0	
TARRANT(TX)	TARRANT	TX	63	TARRANT-TX	28439	FALSE	0	
BELL(TX)	BELL	TX	61	BELL-TX	39027	FALSE	0	
EL PASO(TX)	EL PASO	TX	34	EL PASO-TX	08141	FALSE	0	
TRAVIS(TX)	TRAVIS	TX	23	TRAVIS-TX	30453	FALSE	0	
MCLENNAN(TX)	MCLENNAN	TX	17	MCLENNAN-TX	27309	FALSE	0	
BRAZORIA(TX)	BRAZORIA	TX	15	BRAZORIA-TX	48039	FALSE	0	
BRAZOS(TX)	BRAZOS	TX	15	BRAZOS-TX	21041	FALSE	0	
NUECES(TX)	NUECES	TX	15	NUECES-TX	32355	FALSE	0	
CORYELL(TX)	CORYELL	TX	13	CORYELL-TX	39099	FALSE	0	
JEFFERSON(TX)	JEFFERSON	TX	13	JEFFERSON-TX	53245	FALSE	0	
BOWIE(TX)	BOWIE	TX	12	BOWIE-TX	38037	FALSE	0	
COLLIN(TX)	COLLIN	TX	12	COLLIN-TX	48085	FALSE	0	
WEBB(TX)	WEBB	TX	12	WEBB-TX	49479	FALSE	0	
DENTON(TX)	DENTON	TX	11	DENTON-TX	08121	FALSE	0	
SMITH(TX)	SMITH	TX	11	SMITH-TX	51423	FALSE	0	
JOHNSON(TX)	JOHNSON	TX	10	JOHNSON-TX	56251	FALSE	0	
TAYLOR(TX)	TAYLOR	TX	10	TAYLOR-TX	55441	FALSE	0	
GALVESTON(TX)	GALVESTON	TX	9	GALVESTON-TX	31167	FALSE	0	
LUBBOCK(TX)	LUBBOCK	TX	9	LUBBOCK-TX	19303	FALSE	0	
FORT BEND(TX)	FORT BEND	TX	8	FORT BEND-TX	38157	FALSE	0	
GREGG(TX)	GREGG	TX	8	GREGG-TX	46183	FALSE	0	
WICHITA(TX)	WICHITA	TX	8	WICHITA-TX	24485	FALSE	0	
CAMERON(TX)	CAMERON	TX	7	CAMERON-TX	48061	FALSE	0	
POTTER(TX)	POTTER	TX	7	POTTER-TX	30375	FALSE	0	
HIDALGO(TX)	HIDALGO	TX	6	HIDALGO-TX	39215	FALSE	0	
CASS(TX)	CASS	TX	4	CASS-TX	16067	FALSE	0	
CHEROKEE(TX)	CHEROKEE	TX	4	CHEROKEE-TX	31073	FALSE	0	
GRAYSON(TX)	GRAYSON	TX	4	GRAYSON-TX	51181	FALSE	0	
HUNT(TX)	HUNT	TX	4	HUNT-TX	34231	FALSE	0	
MONTGOMERY(TX)	MONTGOMERY	TX	4	MONTGOMERY-TX	51339	FALSE	0	
WHARTON(TX)	WHARTON	TX	4	WHARTON-TX	53481	FALSE	0	
WOOD(TX)	WOOD	TX	4	WOOD-TX	55499	FALSE	0	
ANGELINA(TX)	ANGELINA	TX	3	ANGELINA-TX	24005	FALSE	0	
COOKE(TX)	COOKE	TX	3	COOKE-TX	29097	FALSE	0	
ELLIS(TX)	ELLIS	TX	3	ELLIS-TX	20139	FALSE	0	
HOWARD(TX)	HOWARD	TX	3	HOWARD-TX	29227	FALSE	0	
LAMPASAS(TX)	LAMPASAS	TX	3	LAMPASAS-TX	31281	FALSE	0	
LEE(TX)	LEE	TX	3	LEE-TX	51287	FALSE	0	
LEON(TX)	LEON	TX	3	LEON-TX	21289	FALSE	0	
LIBERTY(TX)	LIBERTY	TX	3	LIBERTY-TX	39291	FALSE	0	
NACOGDOCHES(TX)	NACOGDOCHES	TX	3	NACOGDOCHES-TX	72347	FALSE	0	
SAN AUGUSTINE(TX)	SAN AUGUSTINE	TX	3	SAN AUGUSTINE-TX	06405	FALSE	0	
TOM GREEN(TX)	TOM GREEN	TX	3	TOM GREEN-TX	36451	FALSE	0	
VAN ZANDT(TX)	VAN ZANDT	TX	3	VAN ZANDT-TX	37467	FALSE	0	
WASHINGTON(TX)	WASHINGTON	TX	3	WASHINGTON-TX	49477	FALSE	0	
BANDERA(TX)	BANDERA	TX	2	BANDERA-TX	13019	FALSE	0	
